"","LoanStart","LoanEnd","PlayerNamesChels","Age","PlayerLoanClub","clubCountry","PlayerAppearences"
"223","01/07/2016","02/01/2017","Mitchell Beeney","20","Crawley Town","England",1
"224","20/07/2016","31/05/2017","Alex Kiwomya","20","Crewe Alexandra","England",34
"225","06/08/2016","31/05/2017","Jordan Houghton","20","Doncaster","England",32
"226","11/08/2016","03/01/2017","Alex Davey","21","Crawley Town","England",14
"227","31/08/2016","05/01/2017","Charlie Colkett","19","Bristol Rovers","England",15
"228","31/08/2016","26/01/2017","Dion Conroy","20","Aldershot Town","England",15
"229","02/02/2017","30/06/2017","Miro Muheim","18","FC Zürich","Switzerland",0
"230","29/01/2016","02/01/2017","Charly Musonda Jr.","19","Real Betis","Spain",16
"231","31/08/2015","30/06/2016","Jeremie Boga","18","Stade Rennais","France",27
"232","04/08/2015","30/06/2016","Dominic Solanke","17","Vitesse","Netherlands",25
"233","14/07/2015","30/06/2016","Victorien Angban","18","Sint-Truiden","Belgium",19
"234","10/07/2015","30/06/2016","Isaiah Brown","18","Vitesse","Netherlands",22
"235","01/09/2015","26/01/2016","Islam Feruz","19","Hibernian FC","Scotland",6
"236","01/10/2015","31/05/2016","John Swift","20","Brentford","England",27
"237","03/08/2015","30/06/2016","Joao Rodríguez","19","Sint-Truiden","Belgium",10
"238","20/07/2015","03/01/2016","Jordan Houghton","19","Gillingham FC","England",11
"239","08/08/2015","02/01/2016","Alex Davey","20","Peterborough","England",7
"240","10/03/2016","31/05/2016","Jordan Houghton","20","Plymouth","England",10
"241","15/03/2016","22/07/2016","Alex Davey","21","Stabaek IF","Norway",5
"242","15/01/2016","25/02/2016","Mitchell Beeney","20","Newport County","England",4
"243","21/01/2016","21/02/2016","Alex Kiwomya","19","Fleetwood","England",4
"244","01/09/2014","31/12/2014","Islam Feruz","18","OFI Crete","Greece",1
"245","16/01/2015","27/02/2015","Islam Feruz","19","Blackpool","England",2
"246","01/08/2014","14/11/2014","John Swift","19","Rotherham","England",3
"247","03/01/2015","10/05/2015","John Swift","19","Swindon Town","England",18
"248","06/08/2014","08/01/2015","Joao Rodríguez","18","SC Bastia","France",5
"249","02/02/2015","30/06/2015","Joao Rodríguez","18","Vitória Setúbal","Portugal",0
"250","26/11/2014","23/04/2015","Alex Davey","20","Scunthorpe Utd.","England",13
"251","03/01/2015","18/02/2015","Alex Kiwomya","18","Barnsley FC","England",5
